event_name,file_name,file_type,description,people,event_summary,file_url
ski trip,isa sung ski-7.mp4,video,"This video shows an unknown woman lying across the top of a gray sofa, reading from a paper. She is discussing her plans, which include skiing on Wednesday, and then leaving on Thursday. She says she has to wash up, but that she is excited to be there.",[],ski trip - A winter ski trip with friends enjoying the slopes and mountain activities,https://storage.googleapis.com/forgetmenot-videos/ski%20trip/isa%20sung%20ski-7.mp4
ski trip,isa sung ski-8.mp4,video,"An unknown woman, wearing a white bathrobe, is sitting on a hotel bed. She's on a phone call, then she picks up an ""IN-ROOM DINING MENU"" and orders room service. She expresses excitement about ordering room service but mentions she only does so when it's free.",[],ski trip - A winter ski trip with friends enjoying the slopes and mountain activities,https://storage.googleapis.com/forgetmenot-videos/ski%20trip/isa%20sung%20ski-8.mp4
day in college,buyinggiftsforwhiteelephants.mp4,video,"Hannah and an unknown woman document a shopping trip. They visit Buff City Soap and purchase gift sets wrapped with ribbon and bows, then they head to Walmart for bananas and La Croix, discovering a defective carton on clearance. They jokingly close the video with a play on the phrase “see ya later.”","[""Hannah, unknown""]","day in college - A day of college life including classes, social activities with friends, and daily routines captured through various videos and photos",https://storage.googleapis.com/forgetmenot-videos/day%20in%20college/buyinggiftsforwhiteelephants.mp4
day in college,gettingreadyforschool.mp4,video,"A woman in a black sweatshirt and tan sweatpants is preparing for her day. She packs a green garment into her black backpack, zipping it up. She's also in the kitchen cooking eggs on the stove and makes an iced coffee with vanilla syrup and creamer.",[],"day in college - A day of college life including classes, social activities with friends, and daily routines captured through various videos and photos",https://storage.googleapis.com/forgetmenot-videos/day%20in%20college/gettingreadyforschool.mp4
day in college,gettingreadyforwhiteelephantwithfriends.mp4,video,"This video features Hannah who discusses her hair routine and touches up her makeup for a dinner outing. She mentions that it is day four of her hair cycle, and her hair is holding curls better when it's not completely clean. Hannah says she is going to touch up her makeup and then show the results.","[""Hannah""]","day in college - A day of college life including classes, social activities with friends, and daily routines captured through various videos and photos",https://storage.googleapis.com/forgetmenot-videos/day%20in%20college/gettingreadyforwhiteelephantwithfriends.mp4
day in college,headingtomorningclass.mp4,video,"Avery is recording a vlog on her way to Arkansas history class and talking about her final project. She's walking outside on a sunny day on what appears to be a college campus with trees and brick buildings. She says she's out of breath and notes it's her last day of class and she doesn't have to present her final project. In the background, you can hear bells chiming.","[""Avery""]","day in college - A day of college life including classes, social activities with friends, and daily routines captured through various videos and photos",https://storage.googleapis.com/forgetmenot-videos/day%20in%20college/headingtomorningclass.mp4
day in college,housetourwithfriends.mp4,video,"Three women, Hannah, Avery, and an unknown person, stand in the living room of a sorority house, decorated with Christmas décor. They announce that Avery is moving to London to study abroad. The three women plan to go out for soup and salad.","[""Hannah, Avery""]","day in college - A day of college life including classes, social activities with friends, and daily routines captured through various videos and photos",https://storage.googleapis.com/forgetmenot-videos/day%20in%20college/housetourwithfriends.mp4
day in college,inhousewithfriends.png,image,"Three smiling girls are standing together, looking up at the camera. The environment looks like a home with the white ceiling visible in the background. All three appear joyful and excited.","[""Hannah""]","day in college - A day of college life including classes, social activities with friends, and daily routines captured through various videos and photos",https://storage.googleapis.com/forgetmenot-videos/day%20in%20college/inhousewithfriends.png
day in college,makingcoffeepic.png,image,"A person with long brown hair pours brown liquid from a green bottle into a clear plastic cup filled with ice on a white countertop. The scene takes place in a kitchen with dark brown cabinets and stainless steel appliances visible in the background. The mood is casual, suggesting the person is making a drink at home.",[],"day in college - A day of college life including classes, social activities with friends, and daily routines captured through various videos and photos",https://storage.googleapis.com/forgetmenot-videos/day%20in%20college/makingcoffeepic.png
day in college,mirrorselfie.png,image,"Avery takes a selfie in the bathroom mirror. She is holding a coffee, sunglasses and a camera. The room is white and there is a hand soap dispenser in the background.","[""Avery""]","day in college - A day of college life including classes, social activities with friends, and daily routines captured through various videos and photos",https://storage.googleapis.com/forgetmenot-videos/day%20in%20college/mirrorselfie.png
day in college,pictureofhouse.png,image,"This shot shows an elegant white building with columns. People are standing outside the building on the left-hand side. The day is sunny, and the mood is calm and peaceful.",[],"day in college - A day of college life including classes, social activities with friends, and daily routines captured through various videos and photos",https://storage.googleapis.com/forgetmenot-videos/day%20in%20college/pictureofhouse.png
day in college,readyforwhiteelephantpic.png,image,"A woman is standing in front of a mirror, holding up a camera and taking a picture of her reflection. The setting appears to be inside a home with neutral colored walls and carpet. She is wearing a tan t-shirt, wide-legged jeans with rips, and white shoes.",[],"day in college - A day of college life including classes, social activities with friends, and daily routines captured through various videos and photos",https://storage.googleapis.com/forgetmenot-videos/day%20in%20college/readyforwhiteelephantpic.png
day in college,saladfoodpic.png,image,A plate of lettuce salad covered in white dressing is accompanied by a bread roll and a fork. The scene appears to be set at a dinner table with a light tablecloth.,[],"day in college - A day of college life including classes, social activities with friends, and daily routines captured through various videos and photos",https://storage.googleapis.com/forgetmenot-videos/day%20in%20college/saladfoodpic.png
day in college,walkingwithfriendafterclass.mp4,video,"Hannah and an unknown girl are walking down a staircase discussing their lunch period. They also mention having online exams to complete and express gratitude for their cool teacher, and that they're happy they don't have to go back. The video's audio consists of their dialogue and background noise from the hallway.","[""Hannah""]","day in college - A day of college life including classes, social activities with friends, and daily routines captured through various videos and photos",https://storage.googleapis.com/forgetmenot-videos/day%20in%20college/walkingwithfriendafterclass.mp4
day in college,walkingwithfriendtolunch.mp4,video,"Two women are walking along a sidewalk near some college buildings, discussing how comfortable they now feel vlogging in public. They are walking back to their apartment to study later. One woman mentions that they will be going to buy a gift for their ""LaLaLinks"" squad's ""White Elephant"" party.","[""Hannah""]","day in college - A day of college life including classes, social activities with friends, and daily routines captured through various videos and photos",https://storage.googleapis.com/forgetmenot-videos/day%20in%20college/walkingwithfriendtolunch.mp4
disney trip,disney_trip-1.mp4,video,Steve is checking into Disney's Caribbean Beach Resort. He is very excited to be staying at the resort for the first time. He is standing in front of some palm trees and lush green vegetation near the building.,"[""Steve""]","disney trip - A magical adventure at Disney theme parks with friends enjoying rides, attractions, and entertainment",https://storage.googleapis.com/forgetmenot-videos/disney%20trip/disney_trip-1.mp4
disney trip,disney_trip-10.mp4,video,"A person is exploring a resort, potentially Disney's Old Port Royale, as they walk along a pathway and assess whether to take a walking path or a Skyliner path. He mentions crossing a bridge and being far away from various destinations. The person analyzes a map displayed on a sign labeled ""Aruba, Old Port Royale"" which shows the resort layout including locations like Trinidad, Barbados, Jamaica, Aruba, Old Port Royale and Disney's Riviera Resort. The map also lists dining, shopping, and recreation locations.",[],"disney trip - A magical adventure at Disney theme parks with friends enjoying rides, attractions, and entertainment",https://storage.googleapis.com/forgetmenot-videos/disney%20trip/disney_trip-10.mp4
disney trip,disney_trip-11.mp4,video,"Steve is speaking to the camera, mentioning that it's another hot day in Florida. He notes that the temperature is in the high 90s but feels like 105 degrees. The video also includes shots of the boardwalk with palm trees and buildings in the background. Gondolas on cables are overhead.","[""Steve""]","disney trip - A magical adventure at Disney theme parks with friends enjoying rides, attractions, and entertainment",https://storage.googleapis.com/forgetmenot-videos/disney%20trip/disney_trip-11.mp4
disney trip,disney_trip-14.mp4,video,"An unknown man wearing a blue floral patterned shirt and a black baseball cap is relaxing in a blue hammock, strung between wooden posts and palm trees on a white sandy beach. The sun is shining on a clear, bright day. In the background, there are sidewalks, palm trees and lush greenery creating a tranquil atmosphere. There are no sounds or voices audible in this video.","[""Steve""]","disney trip - A magical adventure at Disney theme parks with friends enjoying rides, attractions, and entertainment",https://storage.googleapis.com/forgetmenot-videos/disney%20trip/disney_trip-14.mp4
disney trip,disney_trip-16.mp4,video,"Steve, wearing a blue patterned shirt, stands outside a resort, expressing that he didn't stay in a hammock for long because of the heat. He says he didn't fall off the hammock, and he is going to show viewers more of the resort.  The video then cuts to a scenic view of a lake with buildings and skyway gondolas in the distance.","[""Steve""]","disney trip - A magical adventure at Disney theme parks with friends enjoying rides, attractions, and entertainment",https://storage.googleapis.com/forgetmenot-videos/disney%20trip/disney_trip-16.mp4
disney trip,disney_trip-18.mp4,video,"The video shows a wooden bridge leading to a sign that reads ""Caribbean Cay"" surrounded by palm trees and lush green vegetation. A narrator describes the area beyond the bridge as having lounge chairs, a playground, and hosting ""movie under the stars"" events. They express that this area is relaxing and enjoyable.  The audio is clear with the narrator's voice and the gentle sounds of nature creating a peaceful atmosphere.",[],"disney trip - A magical adventure at Disney theme parks with friends enjoying rides, attractions, and entertainment",https://storage.googleapis.com/forgetmenot-videos/disney%20trip/disney_trip-18.mp4
disney trip,disney_trip-2.mp4,video,"This is a video of someone enjoying the Caribbean Cay, which they describe as a good spot to hang out and chill. They highlight that it's a great place to drink morning coffee because it is peaceful and relaxing. They also mention there are many seats and nooks to sit down and take in the views.","[""Steve""]","disney trip - A magical adventure at Disney theme parks with friends enjoying rides, attractions, and entertainment",https://storage.googleapis.com/forgetmenot-videos/disney%20trip/disney_trip-2.mp4
disney trip,disney_trip-4.mp4,video,"Steve is sitting outside at an outdoor dining area near a sandy area, possibly a beach. He has ordered ribs and is trying them for the first time. He mentions the price of the ribs and takes a bite to try them and talks about them tasting sweet.","[""Steve""]","disney trip - A magical adventure at Disney theme parks with friends enjoying rides, attractions, and entertainment",https://storage.googleapis.com/forgetmenot-videos/disney%20trip/disney_trip-4.mp4
disney trip,disney_trip-5.mp4,video,"The video showcases a bustling resort pool on a sunny day. Numerous people are swimming and enjoying the water, while a lifeguard is on duty near a small building with a red roof. A decorative structure resembling a fortress with a cannon that spills water into the pool adds to the resort's theme. The ambiance includes the ambient sounds of water splashing and general chatter from the crowd, creating a lively and vacation-like atmosphere.",[],"disney trip - A magical adventure at Disney theme parks with friends enjoying rides, attractions, and entertainment",https://storage.googleapis.com/forgetmenot-videos/disney%20trip/disney_trip-5.mp4
disney trip,disney_trip-6.mp4,video,"This video is filmed from the perspective of an individual sliding down a water slide at a water park. The individual is apprehensive as they wait for the signal to enter the slide. As they slide, the initial portion is dark, causing a brief moment of panic, then eventually into a pool filled with people.",[],"disney trip - A magical adventure at Disney theme parks with friends enjoying rides, attractions, and entertainment",https://storage.googleapis.com/forgetmenot-videos/disney%20trip/disney_trip-6.mp4
disney trip,disney_trip-7.mp4,video,"The video focuses on a plate of pull-apart rolls, a Mickey parmesan cracker, guava butter, and another sauce served with a salad at a restaurant. The narrator mentions he will dive into the rolls and try the guava butter. He comments that the plate contains a lot of food. The setting is a restaurant with white walls.",[],"disney trip - A magical adventure at Disney theme parks with friends enjoying rides, attractions, and entertainment",https://storage.googleapis.com/forgetmenot-videos/disney%20trip/disney_trip-7.mp4
disney trip,disney_trip-9.mp4,video,A Mickey Mouse shaped cinnamon roll is on a Disney-themed plate along with two paper cups: one with diced apples and the other with chocolate chips in a yogurt-like substance. This is on a green plastic tray on what looks like a wooden table. There is no audio.,[],"disney trip - A magical adventure at Disney theme parks with friends enjoying rides, attractions, and entertainment",https://storage.googleapis.com/forgetmenot-videos/disney%20trip/disney_trip-9.mp4
football trip,Football_trip_2.mp4,video,"Tyler is in Phoenix and on his way to the game at SoFi stadium due to an awesome sponsorship. He mentions that SoFi gave him two tickets, but he had to give away two tickets. He shares that he's going to a quick flight to LA for the TCU versus Georgia game.","[""Tyler""]",football trip - An exciting football game trip with friends cheering and celebrating team spirit,https://storage.googleapis.com/forgetmenot-videos/football%20trip/Football_trip_2.mp4
football trip,Football_trip_3.mp4,video,Tyler stands outside the stadium with a grey TCU hoodie with his excitement for the Horn Frogs as he mentions that he's going to watch them play in a suite at Sofi stadium. He shares a memory of doing a project on the TCU Horn Frogs in sixth grade and owned a purple Horn Frog sweatshirt. People can be seen walking around him.,"[""Tyler""]",football trip - An exciting football game trip with friends cheering and celebrating team spirit,https://storage.googleapis.com/forgetmenot-videos/football%20trip/Football_trip_3.mp4
football trip,Football_trip_4.mp4,video,"The video captures Tyler's enthusiastic presence at a TCU rally during a game. Surrounded by other fans in an indoor stadium-like setting with concessions and seating areas visible in the background, Tyler is speaking excitedly towards the camera about the game. He mentions the score and expresses his support for the TCU team amidst the lively atmosphere with crowd sounds in the background.","[""Tyler""]",football trip - An exciting football game trip with friends cheering and celebrating team spirit,https://storage.googleapis.com/forgetmenot-videos/football%20trip/Football_trip_4.mp4
football trip,Football_trip_5.png,image,"Tyler is outdoors on a sidewalk near a fenced off area with trees. The setting is casual, and he is smiling broadly and looking into the camera. It appears to be an overcast day.","[""Tyler""]",football trip - An exciting football game trip with friends cheering and celebrating team spirit,https://storage.googleapis.com/forgetmenot-videos/football%20trip/Football_trip_5.png
football trip,Football_trip_6.mp4,video,"Tyler, wearing round glasses and a mustache, is recording a video message in what seems to be a public setting, possibly at an event or gathering, where people are walking in the background. He speaks enthusiastically, referencing ""Your Mom"" as an ""8 kids ran through."" There is ambient noise with distinct voices, indicating a lively atmosphere.","[""Tyler""]",football trip - An exciting football game trip with friends cheering and celebrating team spirit,https://storage.googleapis.com/forgetmenot-videos/football%20trip/Football_trip_6.mp4
football trip,Football_trip_7.mp4,video,"Tyler is standing in a bright, modern indoor space, possibly a reception area or event venue with tables, food, and other people visible in the background. There is a relaxed and social atmosphere.","[""Tyler, unknown""]",football trip - An exciting football game trip with friends cheering and celebrating team spirit,https://storage.googleapis.com/forgetmenot-videos/football%20trip/Football_trip_7.mp4
football trip,Football_trip_7.png,image,"Tyler is standing in a bright, modern indoor space, possibly a reception area or event venue with tables, food, and other people visible in the background. There is a relaxed and social atmosphere.","[""Tyler, unknown""]",football trip - An exciting football game trip with friends cheering and celebrating team spirit,https://storage.googleapis.com/forgetmenot-videos/football%20trip/Football_trip_7.png
football trip,Football_trip_8.mp4,video,"Tyler is at what appears to be a football game. He speaks directly into the camera, giving commentary on the game, mentioning that the Hard Knocks team lost their fourth, and the Georgia side is getting picked on. The ambient noise includes the sounds of a cheering crowd.","[""Tyler""]",football trip - An exciting football game trip with friends cheering and celebrating team spirit,https://storage.googleapis.com/forgetmenot-videos/football%20trip/Football_trip_8.mp4
football trip,Football_trip_9.mp4,video,"Tyler is sitting in a black chair indoors, presumably waiting for something. Other people are seated in the background, with one woman wearing a purple shirt. The atmosphere seems casual and relaxed.","[""Tyler""]",football trip - An exciting football game trip with friends cheering and celebrating team spirit,https://storage.googleapis.com/forgetmenot-videos/football%20trip/Football_trip_9.mp4
football trip,Football_trip_9.png,image,"Tyler is sitting in a black chair indoors, presumably waiting for something. Other people are seated in the background, with one woman wearing a purple shirt. The atmosphere seems casual and relaxed.","[""Tyler""]",football trip - An exciting football game trip with friends cheering and celebrating team spirit,https://storage.googleapis.com/forgetmenot-videos/football%20trip/Football_trip_9.png
football trip,Football_trip_dog.mp4,video,A white Samoyed dog wearing a blue harness stands in a hallway with wooden floors and white walls. There's a doorway visible at the end of the hall and some furniture pieces or boxes are stacked against one wall. The mood is light and the dog looks happy and ready for a walk.,"[""Spot""]",football trip - An exciting football game trip with friends cheering and celebrating team spirit,https://storage.googleapis.com/forgetmenot-videos/football%20trip/Football_trip_dog.mp4
football trip,Football_trip_dog.png,image,A white Samoyed dog wearing a blue harness stands in a hallway with wooden floors and white walls. There's a doorway visible at the end of the hall and some furniture pieces or boxes are stacked against one wall. The mood is light and the dog looks happy and ready for a walk.,"[""Spot""]",football trip - An exciting football game trip with friends cheering and celebrating team spirit,https://storage.googleapis.com/forgetmenot-videos/football%20trip/Football_trip_dog.png
